codigo_unidade_gestora;codigo_unidade_orcamentaria;numero_empenho;classificacao;data_empenho;codigo_credor;nome_credor;valor_contratado;valor_pago
201157;02110;'0003409;339039;09/06/2025;'31697954000129;ANDRE LUIS LOPES GOMES DE SIQUEIRA;8000.0;8000.0
201157;02110;'0002623;339036;12/05/2025;'00007222647473;ANDREA CARLA COSTA LIMA;771.43;771.43
201157;02130;'0004110;339030;03/07/2025;'35248691000121;ANGELA GOMES LOURENCO 71335470409;2550.0;5100.0
201157;02130;'0001671;339031;03/04/2025;'00011495091473;ANTÔNIO RANIEL ARAÚJO DA SILVA;750.0;750.0
201157;02140;'0001038;339048;18/03/2025;'00092785999487;ANTONIA DE PADUA MEDEIROS DA CUNHA;1500.0;1250.0
201157;02140;'0000502;339048;20/02/2025;'00060127686487;ANTONIA SUELY MOREIRA MARQUES;0.0;0.0
201157;02140;'0000503;339048;19/02/2025;'00060127686487;ANTONIA SUELY MOREIRA MARQUES;1500.0;1000.0
201157;02050;'0001100;339036;20/03/2025;'00060127686487;ANTONIA SUELY MOREIRA MARQUES;3500.0;3500.0
201157;02050;'0001128;339036;21/03/2025;'00060127686487;ANTONIA SUELY MOREIRA MARQUES;3500.0;3500.0
201157;02050;'0002343;339036;30/04/2025;'00060127686487;ANTONIA SUELY MOREIRA MARQUES;3500.0;3500.0
201157;02050;'0003486;339036;10/06/2025;'00060127686487;ANTONIA SUELY MOREIRA MARQUES;3500.0;3500.0
201157;02050;'0004259;339036;08/07/2025;'00060127686487;ANTONIA SUELY MOREIRA MARQUES;3500.0;3500.0
201157;02110;'0002656;339036;12/05/2025;'00099627540463;ANTONIO CASSIANO LOPES;771.43;771.43
201157;02110;'0004418;339036;16/07/2025;'00099627540463;ANTONIO CASSIANO LOPES;2000.0;2000.0
201157;02020;'0001632;339031;03/04/2025;'00054634334704;ANTONIO DOMICIANO DE SOUZA;400.0;400.0
201157;02140;'0003970;339048;01/07/2025;'00052569519472;ANTONIO FRANCISCO DA SILVA;400.0;400.0
201157;02120;'0001620;339039;03/04/2025;'29033075000150;ANTONIO MARCOS NOGUEIRA DA SILVA 87244675453;11500.0;23000.0
201157;02140;'0002802;339048;19/05/2025;'00016661393866;ANTONIO MOURA DE SANTANA NETO;250.0;250.0
201157;02140;'0002352;339048;30/04/2025;'00002456999452;ANTONIO PEREIRA DE LIMA;300.0;300.0
201157;02080;'0000444;339039;13/02/2025;'41453749000171;ANTONIO VICTOR FIDELIS DA SILVA 13293654452;300.0;300.0
201157;02110;'0000473;339030;17/02/2025;'41453749000171;ANTONIO VICTOR FIDELIS DA SILVA 13293654452;0.0;0.0
201157;02110;'0000474;339039;17/02/2025;'41453749000171;ANTONIO VICTOR FIDELIS DA SILVA 13293654452;130.0;260.0
201157;02040;'0001905;339039;15/04/2025;'41453749000171;ANTONIO VICTOR FIDELIS DA SILVA 13293654452;300.0;300.0
201157;02050;'0001906;339039;15/04/2025;'41453749000171;ANTONIO VICTOR FIDELIS DA SILVA 13293654452;100.0;100.0
201157;02050;'0004295;339039;10/07/2025;'41453749000171;ANTONIO VICTOR FIDELIS DA SILVA 13293654452;1100.0;1100.0
201157;02080;'0004296;339039;10/07/2025;'41453749000171;ANTONIO VICTOR FIDELIS DA SILVA 13293654452;1000.0;1000.0
201157;02110;'0001704;449052;07/04/2025;'32224155000106;APS SOLUCOES E EQUIPAMENTOS DE PROTECAO INDIVIDUAL LTDA;10258.0;10258.0
201157;02050;'0004196;339030;07/07/2025;'00070254272410;ARIANY PEREIRA FERNANDES GOMES;2497.8;2497.8
201157;02050;'0004197;339030;07/07/2025;'00070254272410;ARIANY PEREIRA FERNANDES GOMES;72.4;72.4
201157;02050;'0004198;339030;07/07/2025;'00070254272410;ARIANY PEREIRA FERNANDES GOMES;2172.0;2172.0
201157;02050;'0004199;339030;07/07/2025;'00070254272410;ARIANY PEREIRA FERNANDES GOMES;796.4;796.4
201157;02080;'0004366;339039;14/07/2025;'38313852000101;ARICRENES DINIZ DOS SANTOS 07923750416;2000.0;2000.0
